around,17
experience,56
what,17
take,14
part,10
great,199
complaint,1
ever,12
when,99
leaving,5
sure,13
about,28
exit,2
asked,6
staff,353
member,13
escorted,1
thought,4
that,154
very,485
nice,134
already,5
told,9
friends,10
family,14
your,87
awesome,33
place,51
excellent,122
really,65
like,73
there,132
first,37
time,158
hard,27
give,5
fair,4
evaulation,1
restaurant,50
player,2
club,4
desk,31
both,9
cooks,1
serving,6
security,36
soon,15
read,1
wished,5
happy,31
birthday,21
said,6
guest,47
services,54
receive,1
present,2
amazing,11
young,8
woman,8
talked,5
love,60
football,1
also,20
these,5
incidents,1
occuring,1
within,1
minutes,5
walking,3
door,20
made,38
appreciate,8
being,21
personal,3
friendly,270
would,53
thank,37
them,36
their,28
remarkable,1
customer,39
service,112
best,38
casino,201
have,201
been,55
super,13
every,32
treated,4
king,1
only,28
repeat,2
with,163
whom,2
contact,8
were,125
extremely,16
pleasant,76
helpful,129
enjoy,73
coming,20
nanaimo,20
lots,8
variety,7
machines,41
they,147
always,228
seem,19
approachable,3
most,41
lounge,15
overall,32
well,28
establishment,2
accounts,1
memorobilia,1
visit,85
participated,1
virgin,1
academy,1
from,35
checking,1
through,6
each,5
dealers,8
specialists,1
helped,11
learn,4
everybody,2
stand,1
free,19
coffee,45
appreciated,9
river,39
rock,57
team,4
outing,1
will,57
alway,1
return,10
games,15
people,46
thank-you,2
jane,1
atkinson,1
reason,5
short,7
chances,25
casinos,16
this,51
smoking,4
more,63
wouldn't,2
while,17
tables,5
suprevisors,1
bosses,3
respectful,3
clients,3
friday,3
evening,14
laughing,2
joking,1
myself,11
friend,12
night,25
exceptional,12
asian,3
cart,8
server,38
polite,25
encountered,11
cheerful,11
paul,1
craps,3
table,13
remembered,1
wife,14
month,6
room,19
play,33
thing,12
front,26
found,25
wedding,2
anniversary,3
took,13
trouble,4
order,7
chocolate,2
covered,2
strawberries,1
delivered,1
delightful,2
surprise,2
going,36
extra,2
mile,2
ensure,1
enjoyed,49
special,16
ocasion,1
courteous,30
parking,15
accommodating,9
reception,3
thanks,14
tony,2
good,209
employee,10
brief,3
hadn't,1
played,5
years,6
lot's,2
attend,8
inquiries,1
promptly,2
courteously,1
